City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,gadzhiyevo,69.2551,33.3362,9.1,80,79,7.83,RU,1694059066
151,kralendijk,12.15,-68.2667,28.99,84,20,8.23,BQ,1694059066
152,inongo,-1.95,18.2667,20.43,91,89,0.51,CD,1694059066
153,garhi khairo,28.0606,67.9803,36.16,34,0,2.85,PK,1694059066
154,mount gambier,-37.8333,140.7667,9.92,98,100,2.77,AU,1694058854
155,bethune,50.5333,2.6333,19.43,94,10,1.51,FR,1694059067
156,naco,31.3347,-109.9483,30.01,33,29,2.55,MX,1694059067
157,avarua,-21.2078,-159.775,21.03,73,75,6.17,CK,1694058787
158,ulanhot,46.0833,122.0833,29.47,55,29,9.32,CN,1694059068
159,tesistan,20.7833,-103.4833,22.57,92,85,0.71,MX,1694059068
160,san ignacio,17.1561,-89.0714,24.08,94,75,0.0,BZ,1694059068
161,banff,51.1762,-115.5698,7.57,93,5,1.03,CA,1694059005
162,vernon,50.2581,-119.2691,19.74,39,31,0.51,CA,1694059001
163,nantucket,41.2835,-70.0995,23.89,94,0,4.63,US,1694059069
164,ribeira grande,38.5167,-28.7,20.99,76,98,4.02,PT,1694059069
165,lompoc,34.6391,-120.4579,17.23,82,0,5.36,US,1694059069
166,tukrah,32.5341,20.5791,23.67,73,4,3.88,LY,1694058839
167,beledweyne,4.7358,45.2036,25.35,75,25,7.8,SO,1694059070
168,newnham,-41.3833,147.1333,19.26,52,75,7.72,AU,1694059070
169,qamdo,31.1667,97.2333,13.23,50,9,1.86,CN,1694059070
170,nogliki,51.8333,143.1667,19.63,49,0,5.21,RU,1694059071
171,merritt,50.1123,-120.7942,11.69,74,16,1.68,CA,1694059071
172,remire-montjoly,4.9167,-52.2667,23.02,94,0,0.0,GF,1694059071
173,kapa'a,22.0752,-159.319,28.18,71,40,5.14,US,1694059072
174,acarau,-2.8856,-40.12,25.51,81,24,8.38,BR,1694058846
175,yellowknife,62.456,-114.3525,11.9,83,75,2.06,CA,1694059072
176,bethel,41.3712,-73.414,24.87,86,0,2.06,US,1694059072
177,vincennes,48.85,2.4333,19.96,77,0,3.58,FR,1694059072
